                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.01476,                0.02284,                 0.2483,                0.89785,                0.78163,                0.80483,                 0.8463,                0.74626,                0.81728,                0.76328,                0.84016,                0.66396,                0.01422,                0.02347,                0.37883,                 0.9606,               0.022164,               0.022164,               0.022164
                     95,                 0.0144,                0.02273,                 0.2418,                0.90226,                0.79622,                0.81465,                0.84354,                0.74688,                0.79747,                0.80523,                 0.8369,                0.65123,                 0.0141,                0.02349,                0.36653,                0.94952,               0.022146,               0.022146,               0.022146
                     96,                0.01474,                0.02296,                0.24531,                0.90251,                0.78151,                0.79175,                0.84132,                0.74684,                0.78106,                0.79164,                0.83552,                0.66096,                0.01403,                0.02297,                0.40054,                0.95409,               0.022128,               0.022128,               0.022128
                     97,                0.01447,                0.02335,                0.24603,                0.90081,                0.79485,                0.78058,                0.85001,                0.75824,                0.79152,                0.77732,                0.84329,                0.66405,                0.01399,                 0.0228,                0.38074,                0.96523,                0.02211,                0.02211,                0.02211
                     98,                0.01452,                0.02275,                0.24775,                0.90383,                0.81056,                0.79057,                 0.8469,                0.75452,                 0.8017,                0.79483,                 0.8407,                0.67083,                0.01385,                0.02265,                0.37078,                0.94842,               0.022092,               0.022092,               0.022092
                     99,                0.01454,                0.02243,                0.24626,                0.89777,                 0.7884,                0.81855,                0.85899,                 0.7649,                0.78942,                0.81927,                0.85587,                0.67406,                0.01404,                0.02215,                0.35682,                0.94423,               0.022074,               0.022074,               0.022074
                    100,                0.01476,                 0.0234,                0.24925,                0.90845,                0.79836,                0.78811,                0.83681,                0.74182,                0.79233,                0.78035,                0.82674,                0.66507,                0.01379,                0.02255,                0.40004,                0.95159,               0.022055,               0.022055,               0.022055
                    101,                 0.0145,                0.02379,                0.24834,                0.90557,                0.76389,                0.81993,                0.83741,                0.73678,                 0.7635,                 0.8082,                  0.831,                0.64833,                0.01378,                0.02217,                0.37161,                0.95358,               0.022037,               0.022037,               0.022037
                    102,                0.01447,                0.02312,                0.24103,                0.90421,                0.78871,                0.77864,                0.82652,                0.72649,                0.78253,                0.77246,                0.81631,                0.64414,                0.01415,                0.02338,                0.39332,                0.95709,               0.022019,               0.022019,               0.022019
                    103,                0.01467,                0.02344,                0.24924,                0.90622,                 0.7688,                  0.804,                0.83821,                0.75028,                 0.7556,                0.80053,                0.82785,                0.66081,                0.01383,                0.02246,                0.39089,                0.94739,               0.022001,               0.022001,               0.022001
                    104,                0.01464,                0.02237,                0.25048,                 0.9007,                0.76447,                  0.834,                0.85766,                 0.7681,                0.76161,                  0.831,                0.85447,                0.67459,                0.01316,                0.02129,                0.35784,                0.93561,               0.021983,               0.021983,               0.021983
                    105,                0.01455,                0.02321,                0.24124,                0.90255,                0.80674,                0.77808,                0.83867,                0.74996,                0.80457,                0.77607,                0.83509,                0.66379,                0.01366,                0.02204,                0.40348,                 0.9374,               0.021965,               0.021965,               0.021965
                    106,                0.01437,                0.02278,                0.24684,                0.90538,                0.78096,                0.79761,                0.84909,                0.75901,                0.77674,                 0.7936,                0.84465,                0.66886,                0.01357,                 0.0213,                0.37002,                0.94399,               0.021946,               0.021946,               0.021946
                    107,                0.01445,                 0.0231,                0.25171,                0.89834,                0.81401,                0.80272,                0.84873,                0.75687,                0.80879,                0.79807,                0.84218,                0.67297,                0.01408,                0.02263,                0.37002,                0.95481,               0.021928,               0.021928,               0.021928
                    108,                0.01487,                0.02296,                0.24726,                0.90395,                0.78076,                0.80333,                0.85135,                0.76208,                0.77901,                0.80145,                0.84655,                0.67054,                0.01354,                0.02131,                0.36926,                0.94059,                0.02191,                0.02191,                0.02191
                    109,                0.01432,                0.02319,                0.24108,                0.90195,                0.79815,                0.78848,                 0.8441,                0.75244,                0.79465,                0.78111,                0.83796,                0.66895,                0.01384,                0.02224,                0.36135,                 0.9469,               0.021892,               0.021892,               0.021892
                    110,                0.01463,                0.02284,                 0.2458,                0.90056,                0.81733,                0.77311,                0.84744,                0.74851,                0.82196,                0.76595,                0.84119,                0.66219,                0.01396,                0.02205,                0.38472,                0.94645,               0.021874,               0.021874,               0.021874
                    111,                0.01489,                0.02346,                0.24772,                0.89614,                 0.8393,                0.78514,                0.84501,                0.75712,                 0.8389,                 0.7842,                0.84029,                0.67243,                0.01359,                0.02239,                0.37101,                0.94529,               0.021856,               0.021856,               0.021856
                    112,                0.01465,                0.02343,                 0.2435,                0.90182,                0.77785,                0.82175,                0.85061,                0.76084,                0.77808,                0.82175,                0.84939,                0.67256,                0.01361,                0.02226,                0.35918,                0.94306,               0.021838,               0.021838,               0.021838
                    113,                0.01487,                0.02343,                0.24958,                0.90125,                0.77504,                0.80572,                0.85208,                0.75561,                0.77556,                0.80614,                0.85043,                0.66629,                0.01367,                0.02242,                0.36355,                0.93428,               0.021819,               0.021819,               0.021819
                    114,                0.01469,                0.02295,                0.24782,                0.90096,                0.78136,                0.81932,                0.85351,                0.75858,                0.77917,                0.81867,                0.84901,                0.66895,                0.01369,                0.02297,                0.36962,                0.95289,               0.021801,               0.021801,               0.021801
                    115,                0.01424,                 0.0228,                0.24626,                0.90102,                0.82503,                0.80098,                 0.8651,                0.76851,                0.82038,                0.79836,                0.85858,                0.68146,                0.01382,                0.02285,                0.35258,                0.94885,               0.021783,               0.021783,               0.021783
                    116,                0.01461,                0.02304,                0.25245,                0.90174,                0.79508,                0.79549,                0.84964,                0.75017,                0.79272,                0.79558,                0.84626,                0.66895,                0.01404,                0.02428,                0.38041,                0.96285,               0.021765,               0.021765,               0.021765
                    117,                0.01453,                0.02249,                0.24396,                0.90052,                 0.7939,                0.81557,                0.84834,                0.75308,                0.79237,                0.81363,                0.84364,                0.67181,                0.01389,                0.02213,                0.36352,                0.95593,               0.021747,               0.021747,               0.021747
                    118,                0.01435,                 0.0233,                0.24623,                0.90345,                0.76448,                0.84382,                0.85255,                0.76588,                0.76654,                0.83702,                0.85037,                0.67925,                0.01372,                0.02191,                0.36792,                0.95129,               0.021729,               0.021729,               0.021729
                    119,                0.01477,                0.02323,                0.25204,                0.89963,                0.79798,                0.83351,                0.85538,                0.76553,                 0.7945,                   0.83,                0.84828,                 0.6828,                0.01372,                0.02317,                0.34888,                0.94299,                0.02171,                0.02171,                0.02171
                    120,                0.01487,                0.02335,                 0.2511,                0.90628,                 0.8236,                0.78963,                0.85212,                0.76305,                 0.8333,                0.76978,                 0.8457,                0.67795,                0.01371,                0.02228,                0.36837,                0.93596,               0.021692,               0.021692,               0.021692
                    121,                 0.0146,                0.02277,                 0.2494,                0.90433,                0.79285,                0.80225,                0.84689,                0.75839,                0.78636,                0.79803,                0.84129,                0.66423,                 0.0134,                0.02186,                0.36388,                0.93324,               0.021674,               0.021674,               0.021674
                    122,                0.01427,                0.02262,                0.24036,                0.90255,                0.80053,                0.82365,                0.84941,                0.75865,                0.79684,                0.81977,                0.84354,                0.67265,                0.01347,                0.02219,                0.35268,                 0.9388,               0.021656,               0.021656,               0.021656
                    123,                0.01447,                0.02297,                0.24214,                0.90016,                0.83791,                0.78501,                0.85006,                0.76407,                 0.8383,                0.78476,                0.84798,                0.67787,                0.01338,                0.02093,                0.36517,                0.93294,               0.021638,               0.021638,               0.021638
                    124,                0.01463,                0.02385,                0.24879,                0.90177,                 0.8301,                0.80753,                0.86608,                0.77844,                0.82522,                0.80545,                0.86225,                0.68151,                0.01321,                0.02196,                0.34418,                0.93403,                0.02162,                0.02162,                0.02162
                    125,                0.01453,                  0.024,                0.25162,                 0.9055,                0.79797,                0.81731,                0.86547,                0.77664,                0.79452,                0.81381,                0.86157,                 0.6849,                0.01356,                0.02195,                0.36243,                 0.9408,               0.021602,               0.021602,               0.021602
                    126,                0.01482,                0.02315,                0.25007,                0.90409,                0.81778,                0.81356,                0.86351,                0.76888,                0.81024,                0.80625,                0.85391,                0.67755,                0.01367,                0.02207,                 0.3532,                0.95028,               0.021583,               0.021583,               0.021583
                    127,                0.01478,                0.02286,                0.23983,                0.89885,                0.81848,                0.79839,                 0.8481,                0.76235,                0.81365,                0.79326,                0.84214,                0.67204,                0.01323,                0.02158,                0.38296,                0.94021,               0.021565,               0.021565,               0.021565
                    128,                0.01461,                0.02333,                 0.2468,                0.90628,                0.81205,                0.80342,                0.84984,                0.75937,                0.80953,                0.79839,                 0.8431,                0.67447,                0.01353,                0.02226,                0.36474,                0.94478,               0.021547,               0.021547,               0.021547
                    129,                 0.0146,                0.02327,                0.24563,                0.89698,                0.80287,                0.80148,                0.83981,                 0.7501,                0.80041,                0.79472,                0.83424,                0.66453,                 0.0135,                0.02163,                0.36932,                0.93941,               0.021529,               0.021529,               0.021529
                    130,                0.01434,                0.02289,                0.23977,                0.89744,                0.79914,                0.81489,                0.84366,                0.75117,                0.79545,                0.81081,                0.83936,                0.65675,                0.01377,                0.02214,                0.35968,                 0.9504,               0.021511,               0.021511,               0.021511
                    131,                0.01472,                 0.0232,                0.24162,                0.90127,                0.78327,                0.82859,                0.84898,                0.75815,                0.78185,                0.82709,                 0.8475,                0.67459,                0.01356,                0.02184,                0.36068,                0.95018,               0.021493,               0.021493,               0.021493
                    132,                0.01431,                0.02307,                0.23762,                0.89535,                0.77351,                0.84471,                0.85336,                0.76418,                0.77189,                0.84125,                0.84998,                0.67787,                0.01377,                0.02201,                0.35383,                 0.9445,               0.021474,               0.021474,               0.021474
                    133,                0.01432,                0.02204,                0.23923,                0.89125,                0.77877,                0.81718,                0.84517,                0.75418,                0.77743,                0.81679,                0.84251,                0.66682,                0.01359,                0.02251,                0.36963,                 0.9521,               0.021456,               0.021456,               0.021456
                    134,                0.01458,                0.02231,                0.23898,                0.90279,                0.79984,                  0.789,                0.84098,                0.75163,                0.79579,                0.78512,                 0.8365,                0.66026,                0.01345,                 0.0219,                0.38998,                0.94733,               0.021438,               0.021438,               0.021438
                    135,                0.01452,                0.02279,                0.24394,                0.90429,                0.79373,                0.82371,                0.85344,                0.77038,                0.78991,                0.81988,                0.84837,                0.68259,                 0.0133,                0.02297,                0.36303,                0.94729,                0.02142,                0.02142,                0.02142
                    136,                0.01426,                0.02315,                0.24031,                0.89769,                0.78319,                0.83287,                 0.8503,                0.76359,                0.78111,                0.83271,                0.84612,                0.67997,                0.01381,                0.02255,                0.37151,                0.95303,               0.021402,               0.021402,               0.021402
                    137,                0.01438,                0.02245,                0.23238,                0.89809,                0.77791,                0.82636,                0.84169,                0.75292,                0.77417,                0.82521,                0.83867,                0.67012,                0.01387,                0.02261,                0.38618,                0.96148,               0.021384,               0.021384,               0.021384
                    138,                0.01458,                0.02342,                0.24141,                0.89808,                0.82433,                0.78425,                 0.8549,                0.76392,                0.82215,                0.78199,                0.85038,                 0.6774,                0.01361,                 0.0226,                0.36761,                0.95136,               0.021366,               0.021366,               0.021366
                    139,                0.01435,                0.02243,                0.24084,                0.89716,                0.80786,                0.78225,                0.84253,                0.74765,                0.80571,                0.77951,                0.83813,                0.66189,                0.01388,                0.02319,                0.38064,                0.95359,               0.021347,               0.021347,               0.021347
                    140,                0.01424,                0.02353,                0.23579,                0.89984,                 0.7789,                0.79589,                0.83904,                0.74733,                 0.7752,                0.79224,                0.83261,                0.66007,                0.01391,                0.02259,                0.38708,                0.95626,               0.021329,               0.021329,               0.021329
                    141,                0.01469,                 0.0234,                0.24607,                0.90116,                0.78635,                0.83695,                0.84925,                0.76078,                0.78731,                0.82475,                 0.8448,                0.67599,                0.01374,                0.02274,                0.36892,                 0.9603,               0.021311,               0.021311,               0.021311
                    142,                0.01475,                0.02243,                0.24405,                 0.9036,                0.81089,                0.82875,                0.85819,                0.77238,                0.78728,                0.85211,                0.85505,                0.68303,                0.01354,                0.02213,                0.35312,                0.96432,               0.021293,               0.021293,               0.021293
                    143,                0.01438,                0.02286,                0.23971,                0.90266,                0.80137,                0.80228,                0.83896,                0.74941,                0.79428,                0.80143,                0.83281,                0.66888,                0.01362,                0.02323,                0.39307,                0.96988,               0.021275,               0.021275,               0.021275
                    144,                0.01428,                0.02236,                0.24279,                0.89967,                0.78457,                0.79293,                0.83459,                0.74182,                0.78773,                0.78283,                0.82934,                0.65508,                 0.0137,                0.02346,                0.39411,                0.95251,               0.021257,               0.021257,               0.021257
                    145,                0.01464,                0.02343,                 0.2446,                 0.9011,                0.79146,                0.83254,                0.84509,                0.75325,                 0.7873,                0.82752,                0.84038,                0.66486,                 0.0137,                0.02257,                0.37598,                 0.9489,               0.021238,               0.021238,               0.021238
                    146,                0.01466,                0.02296,                0.24444,                 0.8995,                0.81902,                0.80377,                0.84804,                0.75581,                0.81589,                0.80089,                0.84306,                0.66753,                0.01374,                0.02296,                0.38285,                 0.9523,                0.02122,                0.02122,                0.02122
                    147,                0.01452,                0.02321,                0.24188,                0.90364,                0.81241,                0.81751,                0.85318,                  0.755,                0.80905,                 0.8111,                0.84725,                0.67181,                  0.014,                0.02268,                0.36072,                0.96243,               0.021202,               0.021202,               0.021202
                    148,                0.01438,                0.02302,                 0.2462,                0.90391,                 0.8096,                0.80964,                0.85203,                0.75432,                0.80605,                0.80613,                0.84818,                0.66557,                0.01386,                0.02302,                0.36211,                 0.9577,               0.021184,               0.021184,               0.021184
                    149,                0.01431,                0.02208,                0.23075,                0.89636,                0.77302,                0.83291,                0.84366,                0.75112,                0.80427,                0.79479,                0.83841,                0.66517,                 0.0139,                0.02278,                0.37676,                0.95591,               0.021166,               0.021166,               0.021166
                    150,                0.01451,                0.02296,                0.24241,                0.89993,                0.77837,                0.80383,                0.83525,                 0.7441,                0.77441,                0.79992,                0.82997,                 0.6643,                0.01373,                0.02276,                0.37079,                0.96238,               0.021148,               0.021148,               0.021148
                    151,                0.01447,                0.02267,                0.23547,                0.89581,                0.80206,                0.82761,                0.84122,                0.75294,                0.79903,                0.82386,                0.83677,                0.66075,                0.01359,                0.02271,                0.36674,                0.95202,                0.02113,                0.02113,                0.02113
                    152,                0.01434,                 0.0218,                0.24523,                0.89318,                0.79599,                0.80703,                0.84239,                0.74777,                 0.7922,                0.80119,                0.83931,                0.66436,                0.01364,                0.02271,                0.36458,                0.95245,               0.021111,               0.021111,               0.021111
                    153,                0.01469,                0.02206,                0.23497,                0.89334,                0.75677,                0.84308,                0.85149,                0.75643,                 0.7807,                0.80551,                0.84574,                0.66832,                0.01386,                0.02335,                0.36754,                 0.9528,               0.021093,               0.021093,               0.021093
                    154,                0.01459,                0.02297,                0.24137,                0.89819,                0.76126,                0.84335,                0.83878,                0.74899,                0.75788,                 0.8404,                0.83398,                0.65329,                0.01337,                 0.0222,                0.35406,                0.93794,               0.021075,               0.021075,               0.021075
                    155,                0.01435,                0.02287,                 0.2411,                0.90103,                0.77874,                0.83089,                0.84945,                0.75315,                0.77423,                0.82656,                0.84177,                0.66633,                0.01412,                0.02276,                0.36766,                0.96739,               0.021057,               0.021057,               0.021057
                    156,                0.01437,                0.02262,                0.23569,                0.89802,                  0.835,                 0.7882,                0.85463,                0.76155,                0.83067,                0.78879,                0.84997,                  0.677,                0.01394,                0.02328,                0.35932,                0.96204,               0.021039,               0.021039,               0.021039
                    157,                0.01441,                0.02316,                0.23672,                0.89938,                0.81932,                0.79813,                0.85125,                0.75499,                0.81681,                0.79605,                0.84545,                0.66347,                0.01375,                  0.022,                0.35755,                0.95384,               0.021021,               0.021021,               0.021021
                    158,                0.01444,                0.02221,                0.23987,                0.90421,                0.79803,                0.83554,                  0.854,                0.76229,                0.79532,                0.83303,                0.84998,                0.67877,                0.01364,                0.02163,                0.35535,                0.95929,               0.021003,               0.021003,               0.021003
                    159,                0.01429,                0.02227,                0.23486,                0.89993,                0.82214,                0.82259,                0.85617,                0.76139,                0.81422,                 0.8172,                0.84969,                 0.6748,                0.01385,                0.02246,                0.34364,                0.96238,               0.020984,               0.020984,               0.020984
                    160,                0.01412,                0.02277,                0.24041,                0.90266,                0.81981,                0.82589,                0.86549,                0.77041,                0.81627,                0.82217,                0.86079,                0.67922,                0.01371,                0.02343,                0.34076,                0.96113,               0.020966,               0.020966,               0.020966
                    161,                0.01426,                0.02254,                0.23677,                0.89881,                0.81168,                0.80811,                0.85415,                0.75802,                0.80965,                 0.8061,                0.84768,                0.67298,                0.01412,                0.02324,                 0.3579,                0.97301,               0.020948,               0.020948,               0.020948
                    162,                0.01418,                0.02218,                0.23137,                0.89568,                0.83382,                 0.8114,                0.86583,                0.76949,                0.83223,                0.80989,                 0.8601,                0.68159,                0.01398,                0.02218,                0.34747,                0.96104,                0.02093,                0.02093,                0.02093
                    163,                0.01426,                0.02304,                0.23677,                0.89391,                0.80444,                0.81845,                0.85372,                0.76142,                0.80213,                0.81644,                0.84846,                0.67709,                0.01372,                0.02209,                0.34358,                0.95482,               0.020912,               0.020912,               0.020912
                    164,                0.01411,                0.02315,                 0.2401,                0.90408,                0.82143,                0.81111,                0.85724,                0.76442,                0.82241,                0.80623,                0.85354,                0.67582,                 0.0137,                0.02195,                0.34752,                0.95631,               0.020894,               0.020894,               0.020894
                    165,                0.01424,                0.02246,                0.23243,                0.89914,                0.80462,                0.82004,                0.85857,                0.76788,                0.80339,                 0.8184,                 0.8548,                 0.6765,                 0.0137,                0.02181,                0.35458,                0.95011,               0.020875,               0.020875,               0.020875
                    166,                0.01423,                0.02264,                0.23581,                0.90281,                0.78502,                 0.8278,                0.85582,                0.76537,                0.78248,                0.82101,                0.85086,                0.68047,                0.01379,                 0.0219,                0.36072,                0.95883,               0.020857,               0.020857,               0.020857
                    167,                0.01387,                0.02202,                0.23864,                 0.8982,                 0.7857,                0.84215,                0.85307,                0.76801,                0.78312,                0.83881,                0.84703,                0.68148,                0.01355,                0.02219,                0.36215,                0.95698,               0.020839,               0.020839,               0.020839
                    168,                0.01426,                0.02307,                0.24522,                0.90296,                0.81079,                0.80776,                0.85023,                0.75667,                0.81417,                0.79981,                0.84879,                0.67112,                0.01368,                0.02266,                  0.357,                 0.9593,               0.020821,               0.020821,               0.020821
                    169,                0.01414,                0.02163,                0.23456,                0.90187,                0.76771,                0.79828,                0.83953,                0.74493,                0.75791,                0.79618,                0.83215,                0.66137,                0.01402,                0.02319,                0.38054,                0.95799,               0.020803,               0.020803,               0.020803
                    170,                0.01444,                0.02271,                0.23372,                0.89778,                0.77188,                0.81153,                0.85371,                0.76589,                0.76714,                0.80725,                0.84884,                0.67712,                0.01377,                 0.0226,                0.37242,                 0.9573,               0.020785,               0.020785,               0.020785
                    171,                0.01429,                0.02242,                0.24391,                0.89874,                0.75509,                0.82904,                0.84639,                0.75255,                0.75374,                0.82754,                0.84298,                0.66742,                0.01379,                0.02237,                0.37876,                0.95535,               0.020767,               0.020767,               0.020767
                    172,                0.01422,                 0.0224,                0.23652,                0.89812,                0.80328,                0.81423,                0.85255,                0.76142,                0.80107,                0.81215,                0.84866,                0.67451,                0.01368,                0.02195,                0.35088,                0.95863,               0.020748,               0.020748,               0.020748
                    173,                0.01413,                0.02309,                0.23832,                0.89618,                0.81901,                0.78672,                0.85225,                0.76627,                0.81733,                0.78334,                0.84727,                0.68091,                0.01347,                0.02249,                0.38149,                0.95309,                0.02073,                0.02073,                0.02073
                    174,                0.01399,                0.02205,                0.23584,                0.89105,                0.80352,                0.80939,                0.85554,                0.76331,                0.80143,                0.80638,                0.85105,                0.67728,                0.01343,                0.02169,                0.36235,                0.94716,               0.020712,               0.020712,               0.020712
                    175,                0.01433,                0.02257,                0.24543,                0.90348,                0.77905,                0.80162,                0.84128,                0.75176,                0.77692,                0.79857,                0.83759,                0.66858,                0.01353,                0.02171,                0.37893,                0.95311,               0.020694,               0.020694,               0.020694
                    176,                0.01388,                0.02207,                0.22607,                0.89173,                0.84865,                0.80809,                0.85529,                0.76613,                0.84705,                0.80658,                0.85213,                0.68149,                0.01347,                0.02235,                0.34062,                0.95617,               0.020676,               0.020676,               0.020676
                    177,                 0.0141,                0.02225,                0.23066,                0.89355,                0.82512,                0.78367,                0.85506,                0.76038,                0.82586,                 0.7847,                0.85099,                0.66832,                0.01337,                0.02191,                0.36607,                0.95823,               0.020658,               0.020658,               0.020658
                    178,                0.01426,                0.02217,                0.23612,                0.89695,                0.75526,                0.83049,                0.84387,                0.75143,                0.75051,                0.82606,                0.83766,                0.66949,                0.01386,                0.02313,                 0.3918,                0.94966,               0.020639,               0.020639,               0.020639
                    179,                0.01473,                0.02208,                0.23965,                0.89473,                0.82704,                0.77596,                0.84077,                0.74662,                 0.8255,                0.77458,                0.83624,                 0.6678,                0.01383,                0.02357,                0.36535,                0.96201,               0.020621,               0.020621,               0.020621
                    180,                0.01441,                0.02298,                0.24317,                0.89455,                 0.8082,                0.78272,                0.84342,                0.75018,                0.80612,                0.78071,                0.83796,                0.66594,                0.01383,                0.02328,                0.38744,                0.96547,               0.020603,               0.020603,               0.020603
                    181,                0.01435,                0.02247,                0.23287,                0.89439,                0.78649,                0.79347,                 0.8248,                0.73171,                0.78356,                0.78928,                0.81944,                   0.65,                0.01374,                0.02257,                0.39315,                0.96232,               0.020585,               0.020585,               0.020585
                    182,                0.01417,                0.02216,                0.23109,                0.89543,                0.79131,                 0.8024,                0.83443,                0.74514,                0.79108,                0.80096,                0.83172,                0.66467,                 0.0138,                0.02258,                0.37183,                0.95989,               0.020567,               0.020567,               0.020567
                    183,                0.01404,                0.02214,                0.23036,                0.89584,                0.77123,                0.81849,                0.84728,                0.75674,                0.76839,                0.81524,                0.84314,                 0.6681,                0.01374,                0.02202,                0.36663,                0.95721,               0.020549,               0.020549,               0.020549
                    184,                0.01411,                0.02326,                0.23707,                0.90144,                0.79866,                0.80061,                0.84231,                0.74754,                0.79483,                0.79735,                 0.8371,                0.66548,                0.01384,                0.02316,                0.37133,                0.96768,               0.020531,               0.020531,               0.020531
                    185,                 0.0142,                0.02203,                0.23247,                0.89394,                 0.7997,                0.82336,                0.85098,                0.76155,                0.79587,                0.81855,                0.84469,                0.67288,                0.01354,                0.02243,                 0.3699,                0.95029,               0.020512,               0.020512,               0.020512
                    186,                0.01423,                0.02277,                0.23662,                 0.8968,                0.77249,                0.82197,                0.84097,                0.75503,                0.76886,                0.82037,                0.83709,                0.66868,                 0.0137,                0.02373,                 0.3993,                  0.955,               0.020494,               0.020494,               0.020494
                    187,                0.01411,                0.02209,                0.23405,                0.89832,                0.79138,                0.78349,                0.84251,                0.75417,                0.78657,                0.77906,                0.83787,                0.67381,                0.01368,                0.02238,                0.37691,                0.95977,               0.020476,               0.020476,               0.020476
